ID,IPA,POS,Alt form,Def,defFr,defDu,defEn,C1 IPA,C2 IPA,C1 Voicing,C2 Voicing,C1 place,C2 place,Homorganic,C1 Manner,C2 Manner,T-D,N-ND,D-ND,KP-K,T-N,T-ND,D-N
2088,bàta̍,(s.),,mouton. Schaap.,mouton,Schaap,,b,t,voiced,voiceless,lab,cor,non-homorganic,D,T,Yes,No,No,No,No,No,No
2089,’bata,(v.),,être aplati. Plat en breed zijn.,être aplati,Plat en breed zijn,,b',t,voiced,voiceless,lab,cor,non-homorganic,other,T,No,No,No,No,No,No,No
2090,bàtè,(s.),,poivre sauvage. Wilde peper (Piper-Guineense).,poivre sauvage,Wilde peper (Piper-Guineense),,b,t,voiced,voiceless,lab,cor,non-homorganic,D,T,Yes,No,No,No,No,No,No
2091,bàti,(s.),bàtí fɔ̀lɔ̀ ,trompe d’éléphant. Olifantsslurf,bàtí fɔ̀lɔ̀ : trompe d’éléphant,Olifantsslurf,,b,t,voiced,voiceless,lab,cor,non-homorganic,D,T,Yes,No,No,No,No,No,No
2092,bàyà,(s.),,phacochVre. Zwart wildvarken (Phacochoerus africanus).,phacochVre,Zwart wildvarken (Phacochoerus africanus),,b,y,voiced,voiced,lab,other,non-homorganic,D,other,No,No,No,No,No,No,No
2093,bãyã,(v.),,"transplanter, reprendre racine. Verplanten, terug wortel schieten.","transplanter, reprendre racine","Verplanten, terug wortel schieten",,b,y,voiced,voiced,lab,other,non-homorganic,D,other,No,No,No,No,No,No,No
2098,bèlè,(s.),,"sein, pis. Borst, uier.","sein, pis","Borst, uier",,b,l,voiced,voiced,lab,other,non-homorganic,D,other,No,No,No,No,No,No,No
2100,’bete,(v.),,"tendre en arriVre; s’étirer, être arqué. Achterover spannen., achterover gespannen zijn.",,,,b',t,voiced,voiceless,lab,cor,non-homorganic,other,T,No,No,No,No,No,No,No
2102,bɛ̃,(v.),,transplanter. Verplanten.,transplanter,Verplanten,,b,y,voiced,voiced,lab,other,non-homorganic,D,other,No,No,No,No,No,No,No
2104,bɛlɛ,(v.),,"brûler. Branden, afbranden (niet doen branden).",brûler,"Branden, afbranden (niet doen branden)",,b,l,voiced,voiced,lab,other,non-homorganic,D,other,No,No,No,No,No,No,No
2105,bɛlɛ,(v.),,devenir chauve. Kaal worden.,devenir chauve,Kaal worden,,b,l,voiced,voiced,lab,other,non-homorganic,D,other,No,No,No,No,No,No,No
2106,bɛ̀lɛ̀,(s.),,mensonge. Leugen.,mensonge,Leugen,,b,l,voiced,voiced,lab,other,non-homorganic,D,other,No,No,No,No,No,No,No
2107,bɛ̃lɛ̃,(v.),,"fixer en frappant, clouer. Vastslaan, vastspijkeren.","fixer en frappant, clouer","Vastslaan, vastspijkeren",,b,l,voiced,voiced,lab,other,non-homorganic,D,other,No,No,No,No,No,No,No
2108,’bɛ̃lɛ̃,(v.),,"déchirer l’enveloppe, défaire des déchets ; se défaire de l’enveloppe. Omhulsel afscheuren, ontdoen van schelp, — vel, —afval; zich ontdoen, uitbreken.","déchirer l’enveloppe, défaire des déchets ; se défaire de l’enveloppe","Omhulsel afscheuren, ontdoen van schelp, — vel, —afval; zich ontdoen, uitbreken",,b',l,voiced,voiced,lab,other,non-homorganic,other,other,No,No,No,No,No,No,No
2109,’bɛ̃lɛ̃,(v.),,"être pointu, être effilé. Puntig zijn, puntig uitlopen.","être pointu, être effilé","Puntig zijn, puntig uitlopen",,b',l,voiced,voiced,lab,other,non-homorganic,other,other,No,No,No,No,No,No,No
2111,bɛ̀nɛ̀,(s.),,jalousie. Jaloersheid.,jalousie,Jaloersheid,,b,n,voiced,voiced,lab,cor,non-homorganic,D,N,No,No,No,No,No,No,No
2113,bɛŋgɛ,(v.),,"aiguiser. Wetten, scherpen, slijpen.",aiguiser,"Wetten, scherpen, slijpen",,b,ŋg,voiced,voiced,lab,dor,non-homorganic,D,ND,No,No,Yes,No,No,No,No
2114,’bɛ̃̀tɛ̃́,(s.),,"boue, vase, limon. Slijk, modder.","boue, vase, limon","Slijk, modder",,b',t,voiced,voiceless,lab,cor,non-homorganic,other,T,No,No,No,No,No,No,No
2125,bílà,(s.),,"coupe, écope, moitié de calebasse coupée en deux. Drinkkroes of schepkom uit helft van kalebasvrucht.","coupe, écope, moitié de calebasse coupée en deux",Drinkkroes of schepkom uit helft van kalebasvrucht,,b,l,voiced,voiced,lab,other,non-homorganic,D,other,No,No,No,No,No,No,No
2126,bìlì,(s.),,"jachVre, anciens terrains de culture reboisés. Verlaten velden, bos na veld.","jachVre, anciens terrains de culture reboisés","Verlaten velden, bos na veld",,b,l,voiced,voiced,lab,other,non-homorganic,D,other,No,No,No,No,No,No,No
2127,bi̍li̍,(s.),,"piVge, lacet. Strik, springstrop, val.","piVge, lacet","Strik, springstrop, val",,b,l,voiced,voiced,lab,other,non-homorganic,D,other,No,No,No,No,No,No,No
2128,’bili,(v.),,"couper. Snijden, kerven, kappen.",couper,"Snijden, kerven, kappen",,b',l,voiced,voiced,lab,other,non-homorganic,other,other,No,No,No,No,No,No,No
2131,bindi,(v.),,"s’affaisser, s enfoncer ; immerger. Inzakken, ondergaan; onderdompelen.","s’affaisser, s enfoncer ; immerger","Inzakken, ondergaan; onderdompelen",,b,nd,voiced,voiced,lab,cor,non-homorganic,D,ND,No,No,Yes,No,No,No,No
2132,bìndi̍,(s.),,,,Diepe slijkpoel in moeras of rivier,,b,nd,voiced,voiced,lab,cor,non-homorganic,D,ND,No,No,Yes,No,No,No,No
2133,bisi,(v. cfr.),,effacer. Uitvagen.,busu : effacer,Uitvagen,,b,s,voiced,voiceless,lab,other,non-homorganic,D,other,No,No,No,No,No,No,No
2134,bìsi̍,(s. r.),,"dédommager, apaiser des personnes amies. Schade betalen aan familie of vrienden, vrienden vergoeden.","tV bìsi̍ hã́ wi : dédommager, apaiser des personnes amies","Schade betalen aan familie of vrienden, vrienden vergoeden",,b,s,voiced,voiceless,lab,other,non-homorganic,D,other,No,No,No,No,No,No,No
2135,’bìsi̍,(s.),,poux. Luis.,poux,Luis,,b',s,voiced,voiceless,lab,other,non-homorganic,other,other,No,No,No,No,No,No,No
2136,’bi̍ti̍,(s.),,pouce. Duim.,$à ’bítí zu̍ kɔ̃́ wi̍ : pouce,Duim,,b',t,voiced,voiceless,lab,cor,non-homorganic,other,T,No,No,No,No,No,No,No
2137,’bi̍ti̍,(s.),,"parcours du soleil. Zonsomloop, zonnebaan.",tí ’bítí wVsé : parcours du soleil,"Zonsomloop, zonnebaan",,b',t,voiced,voiceless,lab,cor,non-homorganic,other,T,No,No,No,No,No,No,No
2141,bókó,(s. qual.),,"femme, fille (qualité) . Vrouw, meisje.","femme, fille (qualité)","Vrouw, meisje",,b,k,voiced,voiceless,lab,dor,non-homorganic,D,T,Yes,No,No,No,No,No,No
2143,bòlò,(s.),,fer. IJzer.,fer,IJzer,,b,l,voiced,voiced,lab,other,non-homorganic,D,other,No,No,No,No,No,No,No
2144,bòlò,(s.),,"bataille, combat, rixe. Gevecht, oorlog, vechtpartij.","bataille, combat, rixe","Gevecht, oorlog, vechtpartij",,b,l,voiced,voiced,lab,other,non-homorganic,D,other,No,No,No,No,No,No,No
2145,bo̍lo̍,(s.),,"tuyau en terre cuite. Buis van gebakken klei, luchtpijp in smeders- en smelterswerk.",tuyau en terre cuite,"Buis van gebakken klei, luchtpijp in smeders- en smelterswerk",,b,l,voiced,voiced,lab,other,non-homorganic,D,other,No,No,No,No,No,No,No
2146,’bolo,(v.),,"prendre —, porter sur les bras. Voorzichtig op beide armen nemen of dragen.","prendre —, porter sur les bras",Voorzichtig op beide armen nemen of dragen,,b',l,voiced,voiced,lab,other,non-homorganic,other,other,No,No,No,No,No,No,No
2155,bɔ̀bá,(s. cfr.),,papa ! Vader!,bàbá : papa,Vader,,b,b,voiced,voiced,lab,lab,homorganic,D,D,No,No,No,No,No,No,No
2156,’bɔ́kà,(s.),,pipe à tête fixe. Pijp met vaste kop.,pipe à tête fixe,Pijp met vaste kop,,b',k,voiced,voiceless,lab,dor,non-homorganic,other,T,No,No,No,No,No,No,No
2157,bɔ̀kɔ̀,(s. cfr.),,"démence, folie. Krankzinnigheid.","bɔ̀ : démence, folie",Krankzinnigheid,,b,k,voiced,voiceless,lab,dor,non-homorganic,D,T,Yes,No,No,No,No,No,No
2158,bɔ̀kɔ̀,(s. cfr.),,pot percé. Doorboorde pot.,bɔ̀ : pot percé,Doorboorde pot,,b,k,voiced,voiceless,lab,dor,non-homorganic,D,T,Yes,No,No,No,No,No,No
2159,bɔlɔ,(v.),,"être jeune (de plantes) ; être rempli à moitié ; remplir à moitié. Half was zijn, jong zijn van planten; half vol zijn; half vol doen.",être jeune (de plantes) ; être rempli à moitié ; remplir à moitié,"Half was zijn, jong zijn van planten; half vol zijn; half vol doen",,b,l,voiced,voiced,lab,other,non-homorganic,D,other,No,No,No,No,No,No,No
2160,bɔlɔ,(v.),,"rectifier, mettre droit, tenir droit ; se trouver droit, être droit. Recht zetten, recht houden; recht staan, recht zijn.","rectifier, mettre droit, tenir droit ; se trouver droit, être droit","Recht zetten, recht houden; recht staan, recht zijn",,b,l,voiced,voiced,lab,other,non-homorganic,D,other,No,No,No,No,No,No,No
2161,’bɔmɔ,(v.),,"serrer, pincer ; être serré, être pincé. Toeknijpen, vastknellen; vastgeklemd zijn.","serrer, pincer ; être serré, être pincé","Toeknijpen, vastknellen; vastgeklemd zijn",,b',m,voiced,voiced,lab,lab,homorganic,other,N,No,No,No,No,No,No,No
2162,’bɔsɔ,(v. r.),,"accumuler, amasser. Ophopen, sparen.","accumuler, amasser","Ophopen, sparen",,b',s,voiced,voiceless,lab,other,non-homorganic,other,other,No,No,No,No,No,No,No
2163,bɔ̀zɔ̍,(s.),,"esprit, âme, mânes. Naziel, schim.","esprit, âme, mânes","Naziel, schim",,b,z,voiced,voiced,lab,other,non-homorganic,D,other,No,No,No,No,No,No,No
2171,búlà,(s.),,"demi-calebasse, coupe pour puiser ou boire de l’eau. Halve kalebasschelp als schepkom of drinkkroes.","demi-calebasse, coupe pour puiser ou boire de l’eau",Halve kalebasschelp als schepkom of drinkkroes,,b,l,voiced,voiced,lab,other,non-homorganic,D,other,No,No,No,No,No,No,No
2172,bùlɛ́,(s. étr.),,banane sucrée. Zoete banaan.,banane sucrée,Zoete banaan,,b,l,voiced,voiced,lab,other,non-homorganic,D,other,No,No,No,No,No,No,No
2173,bulu,(v.),,"délier ; être délié. Losmaken, ontknopen ; losgemaakt zijn.",délier ; être délié,"Losmaken, ontknopen ; losgemaakt zijn",,b,l,voiced,voiced,lab,other,non-homorganic,D,other,No,No,No,No,No,No,No
2175,búlú-,(s. quai.),,garçon. Jongen.,", búlú bé : garçon",Jongen,,b,l,voiced,voiced,lab,other,non-homorganic,D,other,No,No,No,No,No,No,No
2176,bũlũ,(v.),,"sauter, galopper, voler. Springen, lopen al springend, vliegen.","sauter, galopper, voler","Springen, lopen al springend, vliegen",,b,l,voiced,voiced,lab,other,non-homorganic,D,other,No,No,No,No,No,No,No
2177,’bu̍lu̍-,(s.),,"bout, morceau, reste. Stok, brokkeling, kort eind.","bout, morceau, reste","Stok, brokkeling, kort eind",,b',l,voiced,voiced,lab,other,non-homorganic,other,other,No,No,No,No,No,No,No
2179,’búndù,(s.),,petit sac en fourrure. Kleine zak uit dierenpels in zijn geheel.,petit sac en fourrure,Kleine zak uit dierenpels in zijn geheel,,b',nd,voiced,voiced,lab,cor,non-homorganic,other,ND,No,No,No,No,No,No,No
2180,búŋgu̍,(s.),,natte tressée. Gevlochten mat.,natte tressée,Gevlochten mat,,b,ŋg,voiced,voiced,lab,dor,non-homorganic,D,ND,No,No,Yes,No,No,No,No
2182,busu,(v.),,"effacer ; s’effacer. Uitwrijven, uitvagen ; uitgevaagd zijn, verdwijnen.",effacer ; s’effacer,"Uitwrijven, uitvagen ; uitgevaagd zijn, verdwijnen",,b,s,voiced,voiceless,lab,other,non-homorganic,D,other,No,No,No,No,No,No,No
2183,bútù,(s.),,pilon. Stampstok.,pilon,Stampstok,,b,t,voiced,voiceless,lab,cor,non-homorganic,D,T,Yes,No,No,No,No,No,No
2184,bu̍tu̍,(s.),,,,,,b,t,voiced,voiceless,lab,cor,non-homorganic,D,T,Yes,No,No,No,No,No,No
2191,da’ba,(v.),,marcher lentement (par difficulté ou précaution). Voet voor voet vooruitgaan.,marcher lentement (par difficulté ou précaution),Voet voor voet vooruitgaan,,d,b',voiced,voiced,cor,lab,non-homorganic,D,other,No,No,No,No,No,No,No
2192,dàkà,(s.),,"espVce de grande courge, calebasse ; calebasse vidée employée comme récipient. Kalebasrank of-vrucht; kalebasfles.","espVce de grande courge, calebasse ; calebasse vidée employée comme récipient",Kalebasrank of-vrucht; kalebasfles,,d,k,voiced,voiceless,cor,dor,non-homorganic,D,T,Yes,No,No,No,No,No,No
2193,dala,(v.),,"boiter, clocher. Mank gaan, hinken.","boiter, clocher","Mank gaan, hinken",,d,l,voiced,voiced,cor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2194,dala,(v.),,"nourrir, élever, cultiver. Voeden, opkweken.","nourrir, élever, cultiver","Voeden, opkweken",,d,l,voiced,voiced,cor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2195,dãlã,(v.),,"être irascible, s’emporter. Opvliegend zijn, driftig zijn ; uitvaren, opspelen.","être irascible, s’emporter","Opvliegend zijn, driftig zijn ; uitvaren, opspelen",,d,l,voiced,voiced,cor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2196,dàlɛ̀,(s.),,crapaud. Pad.,crapaud,Pad,,d,l,voiced,voiced,cor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2197,dama,(v.),,jouer (d’un instrument). Blazen (een instrument).,jouer (d’un instrument),Blazen (een instrument),,d,m,voiced,voiced,cor,lab,non-homorganic,D,N,No,No,No,No,No,No,No
2199,dànì,(s.),,"plaie, blessure. Wonde, kwetsuur.","plaie, blessure","Wonde, kwetsuur",,d,n,voiced,voiced,cor,cor,homorganic,D,N,No,No,No,No,No,No,No
2200,daŋa,(v.),,"monter, grimper sur. Beklimmen, opklimmen.","monter, grimper sur","Beklimmen, opklimmen",,d,ŋ,voiced,voiced,cor,dor,non-homorganic,D,N,No,No,No,No,No,No,No
2203,dèlè,(s.),,"claie ou natte faite de lattes ou de bottes de paille, pour fermer portes et fenêtres. voorhangsel uit aaneengebonden latten of stroobusseltjes","claie ou natte faite de lattes ou de bottes de paille, pour fermer portes et fenêtres",voorhangsel uit aaneengebonden latten of stroobusseltjes,,d,l,voiced,voiced,cor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2208,dɛfa,(v. étr.),,"emprunter. Lenen, in leen nemen.",emprunter,"Lenen, in leen nemen",,d,f,voiced,voiceless,cor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2209,dɛ̀là,(s.),,"injure, invective. Scheldwoord, beschimping.","injure, invective","Scheldwoord, beschimping",,d,l,voiced,voiced,cor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2210,dɛ̀là,(s.),,collier en gros fil de métal Blanc enroulé en spirale. Spiraalvormige halsversiering uit wit metaal.,collier en gros fil de métal Blanc enroulé en spirale,Spiraalvormige halsversiering uit wit metaal,,d,l,voiced,voiced,cor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2211,dɛlɛ,(v.),,"être nombreux, devenir nombreux. Talrijk zijn, — worden.","être nombreux, devenir nombreux","Talrijk zijn, — worden",,d,l,voiced,voiced,cor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2212,dɛ̀lɛ̍,(s.),,bordure en terre battue autour des cases. Opge- hoogde leemrand langs muur van hut als bescherming tegen drup van dak.,dɛ̀lɛ́ tɔ̀à : bordure en terre battue autour des cases,Opge- hoogde leemrand langs muur van hut als bescherming tegen drup van dak,,d,l,voiced,voiced,cor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2213,dɛ̃̀lɛ̃̀,(s.),,limon blanc dans l’eau. Grauwwit slijk in rivierbedding.,limon blanc dans l’eau,Grauwwit slijk in rivierbedding,,d,l,voiced,voiced,cor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2215,dɛ̀ŋbɛ̀,(s.),,petite antilope grise- bleue.,,,,d,ŋb,voiced,voiced,cor,labdor,non-homorganic,D,ND,No,No,Yes,No,No,No,No
2224,dili,(v.),,"effacer, essuyer. Afwrijven, afkuisen, afdrogen,","effacer, essuyer","Afwrijven, afkuisen, afdrogen,",,d,l,voiced,voiced,cor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2225,dìli̍,(s.),," hibou roux strié sans aigrettes ; hibou à aigrettes, autour des villages. Uil zonder oorpluimpjes rosgestreept (Strix sp.) ; ooruil in dorpen, zwart en wit gestreept (Bubo sp.)",,,,d,l,voiced,voiced,cor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2227,dìlì,(s.),,coin de forge pour fendre le fer. Wig om ijzer te klieven.,coin de forge pour fendre le fer,Wig om ijzer te klieven,,d,l,voiced,voiced,cor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2228,dĩlĩ,(v.),,peser lourd. Zwaar wegen.,peser lourd,Zwaar wegen,,d,l,voiced,voiced,cor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2229,dili,(v. vx.),,"s’enrichir aux frais des autres. Zich verrijken, sparen op andermans kosten.",s’enrichir aux frais des autres,"Zich verrijken, sparen op andermans kosten",,d,l,voiced,voiced,cor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2230,dìŋbà,(s.),,huppe. Kuif.,huppe,Kuif,,d,ŋb,voiced,voiced,cor,labdor,non-homorganic,D,ND,No,No,Yes,No,No,No,No
2231,díŋgò,(s.),,grand grillon terrestre. Grote aardkrekel.,grand grillon terrestre,Grote aardkrekel,,d,ŋg,voiced,voiced,cor,dor,non-homorganic,D,ND,No,No,Yes,No,No,No,No
2232,dîyè,(s.),,grillon des arbres. Boomkrekel.,,,,d,y,voiced,voiced,cor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2243,dofo,(v.),,"enfler, faire des cloches. Blaar maken.","enfler, faire des cloches",Blaar maken,,d,f,voiced,voiceless,cor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2244,doko,(v. r.),,battre pour rendre flexible. Kloppen om iets los of lenig te krijgen.,battre pour rendre flexible,Kloppen om iets los of lenig te krijgen,,d,k,voiced,voiceless,cor,dor,non-homorganic,D,T,Yes,No,No,No,No,No,No
2245,doko,(v.),,distribuer à tour de rôle. Op beurt of volgens rang iets uitdelen.,distribuer à tour de rôle,Op beurt of volgens rang iets uitdelen,,d,k,voiced,voiceless,cor,dor,non-homorganic,D,T,Yes,No,No,No,No,No,No
2246,dòlè,(s.),,"termite. Termiet, witte mier.",termite,"Termiet, witte mier",,d,l,voiced,voiced,cor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2247,dolo,(v.),,forger. Smeden.,forger,Smeden,,d,l,voiced,voiced,cor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2248,dolo,(v.),,"faire rester, retenir chez soi. Doen blijven, thuis houden.","dòlò zù- : faire rester, retenir chez soi","Doen blijven, thuis houden",,d,l,voiced,voiced,cor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2249,dolo,(v. r.),,bouillonner. Opborrelen.,bouillonner,Opborrelen,,d,l,voiced,voiced,cor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2250,do̍lo̍,(s.),,"piste, foulée d’animaux. Spoor, weg door dieren gebaand.","piste, foulée d’animaux","Spoor, weg door dieren gebaand",,d,l,voiced,voiced,cor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2259,dɔ̀kɔ̀,(s.),,chenille. Rupsmaai.,chenille,Rupsmaai,,d,k,voiced,voiceless,cor,dor,non-homorganic,D,T,Yes,No,No,No,No,No,No
2260,dɔ̀là,(s.),,"sauterelle (quelques espVces parmi lesquelles les sauterelles migratrices). Sprinkhaan, sommige soorten o. a. de zwerfsprikhaan.",sauterelle (quelques espVces parmi lesquelles les sauterelles migratrices),"Sprinkhaan, sommige soorten o",,d,l,voiced,voiced,cor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2261,dɔlɔ,(v.),,"cueillir, ramasser un par un. Plukken, een voor een inzamelen.","cueillir, ramasser un par un","Plukken, een voor een inzamelen",,d,l,voiced,voiced,cor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2262,dɔ̃lɔ̃,(v.),,"résonner, sonner. Weer klinken, weer galmen.","résonner, sonner","Weer klinken, weer galmen",,d,l,voiced,voiced,cor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2263,dɔ̍mɔ̍,(s.),,,,,,d,m,voiced,voiced,cor,lab,non-homorganic,D,N,No,No,No,No,No,No,No
2264,dɔ̀ndɔ̀,(s.),,"surface glissante. Gladheid, glibberigheid.",surface glissante,"Gladheid, glibberigheid",,d,nd,voiced,voiced,cor,cor,homorganic,D,ND,No,No,Yes,No,No,No,No
2266,dɔ̀nɔ̀,(s.),,"marteau. Hamer, vroeger: Zang ijzer dikker aan een uiteinde.",marteau,"Hamer, vroeger: Zang ijzer dikker aan een uiteinde",,d,n,voiced,voiced,cor,cor,homorganic,D,N,No,No,No,No,No,No,No
2267,dɔŋbɔ,(v.),,"s’incliner, baisser la tête, retirer la tête. Zich neerbukken, zich intrekken, hoofd intrekken.","s’incliner, baisser la tête, retirer la tête","Zich neerbukken, zich intrekken, hoofd intrekken",,d,ŋb,voiced,voiced,cor,labdor,non-homorganic,D,ND,No,No,Yes,No,No,No,No
2268,dɔ̀ŋbɔ̀,(s.),,vêtement consistant en une large piVce d’étoffe couvrant les cuisses et pendant entre les jambes. Dijkleedsel der ouden dat lang afhangt tussen de benen.,vêtement consistant en une large piVce d’étoffe couvrant les cuisses et pendant entre les jambes,Dijkleedsel der ouden dat lang afhangt tussen de benen,,d,ŋb,voiced,voiced,cor,labdor,non-homorganic,D,ND,No,No,Yes,No,No,No,No
2269,dɔŋgɔ/dɔŋga,(v.),,"honorer, donner pour honorer. Vereren, geschenk geven.","honorer, donner pour honorer","Vereren, geschenk geven",,d,ŋg,voiced,voiced,cor,dor,non-homorganic,D,ND,No,No,Yes,No,No,No,No
2275,dùlà,(s.),,"forgerie, de forge. Smeder swerk, smids-.","forgerie, de forge","Smeder swerk, smids-",,d,l,voiced,voiced,cor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2276,dùlà,(s.),,"têtard, jeune grenouille- ou crapaud. Dikkop, jonge kikvors of pad.","têtard, jeune grenouille- ou crapaud","Dikkop, jonge kikvors of pad",,d,l,voiced,voiced,cor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2277,dulu,(v.),,être long. Lang zijn.,être long,Lang zijn,,d,l,voiced,voiced,cor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2278,dumu,(v.),,"enfoncer, percer. Steken, door steken.","enfoncer, percer","Steken, door steken",,d,m,voiced,voiced,cor,lab,non-homorganic,D,N,No,No,No,No,No,No,No
2279,dunu,(v.),,être rempli ; remplir. Vol zijn; vullen.,être rempli ; remplir,Vol zijn; vullen,,d,n,voiced,voiced,cor,cor,homorganic,D,N,No,No,No,No,No,No,No
2280,dùŋgì,(s.),,grande chauve-souris frugivore. Grote vruchtenetende vleermuis (Hypsignatus mons- truosus).,grande chauve-souris frugivore,Grote vruchtenetende vleermuis (Hypsignatus mons- truosus),,d,ŋg,voiced,voiced,cor,dor,non-homorganic,D,ND,No,No,Yes,No,No,No,No
